sentiment,content
sadness,Its beginning to get way too hard to please all of my friends at once
sadness,i wish someone would inspire me with some sexy time right now ugh but thats not gonna happen...  ugh
sadness,not in the mood
sadness,I'll miss the 39th floor view...
sadness,now i'm awake i can't get back to sleep
sadness,Now i feel really really bad...sorry
sadness,miss u more
sadness,"the geek, the stepson and the live in nanny love BGT, me - can't stand it!  Had to watch TV upstairs all alone!"
sadness,Enjoying the nice couple dad with my brother to bad we never really see each other anymore...
sadness,"Just got finished watching marley and me, and I cried like a fucking baby...I'm missing my beast like crazy!"
sadness,My phone passed away yesterday.. He jumped off the table  Searching for a new phone...
sadness,oh my god. my twitter feed has been taken over by geeky stuff!  so funny! I wish i understood
sadness,nobody loves me on twitter
sadness," can't.  wish I was sleeping. Gotta be at work in less than 4 hours... Wait, what're u doing up???!"
sadness,your boyfriend didn't even say bye!
sadness,Have you ever realized you never fully have everything you want?  feelin' down.
sadness,"Gutted, been invited to a bbq tomorrow night, gonna miss the BGT final   ...Wonder if they can wheel the TV outside??"
sadness,Sad But True  :: I SHouldnt Right?
sadness,supposed to be great weather today &amp; 2moro; just my luck Im stuck in work 1-10 both days!
sadness,"i lost all my friends, i'm alone and sleepy..i wanna go home"
sadness,i didnt get the joke
sadness,"Also, I'm really missing Sami... just thought I would throw that one out there..."
sadness,i REALLY miss my photofiltre and photoscape  GIMP is too damn confusing
sadness,at last i wr0te again....got bored the previous dayss....
sadness,I'm afraid so. All tour I have had people refusing to believe that I am anything else... Irish all the way.
sadness,It's 4 am and I'm hungry
sadness,Why do weddings on TV make me cry? Is it just my inner desire to be eternally happy and start the rest of my life??
sadness,can't go to bed  An am sooooo tired!!!
sadness,man.. it's starting to rain real hard..
sadness,Just wrote lyrics to my new song exciting!I slept on a full stomach again it's the worst feeling waking up and still feeling full  euggh
sadness,got paid nowhere near as much as she thought she would
sadness,I have not been this sick in years. OMG. This sucks so bad. Sickness ended up including a full restroom cleanup.
sadness,oh no I hate that
sadness,"How I wish I get at least 2 days-off in a row. 1 day off is not enough to rest.  3 days on, 1 day off, 4 days on, 1 day off...Ugh!!!"
sadness,im having trouble finding really yummy egg free ice-cream   #favoriteicecream - got any recommendations anyone?
sadness,I guess you're not talking about Orlando MagicThere was nothing magical about it
sadness,I never thought falling in love can cause so much pain...  good thing that I'm so over that phase!
sadness,"when you wake up, tweet me and let me know when ur on msn. I really need to talk to you  miss you"
sadness,caught tweets on it and got home in time for the last 5 mins of the ITV2 show!! #bgt Out tonight too so will miss it again
sadness,The Good: I drank Jager and licked a hot asian girl's foot. The Bad: I was reminded once again that I will never get asian girls ever.
sadness,"3 hours sleep last night, all of my being wants to crawl into a ball somewhere and sleep for about 5 more hours. At work till six too"
sadness,"Is so freaking bored on the bus. Hate being poor, ï¿½4.80 return for a 10 min train or ï¿½2 return for an HOUR long bus.ipod has no battery 2"
sadness,I have no choice  have to get on it!
sadness,"Everyone seems to love it, but it felt kinda lazy and repetative to me.  I was really disappointed."
sadness,Its a lovely day sky is clear birds are singing and i'm stuck in an office with on windows for 9 hours
sadness,"nothing could get worse, or could it? if it did i think id be on the verge of killing myself or someone else, things are not good anymore"
sadness,todays weigh in....  only lost 1/2 pound this week :o depressing
sadness,lol   the things u gotta do sometimes man smh lol
sadness," haha yea! Just working and chillin in the eastbay. Unlike u, I don't get a summer break  boo"
sadness,"although these are a BIT tighter (smaaaaller) than my last pair, they were baggy as hell, now I get front wedgies"
sadness,"Damn, got Chili Beans on my shirt  I hate that I can be a messy eater. Such a lady!"
sadness, I'm on mobile web and it won't let me  it looks awesome though....and no one reads my tweets anyway.
sadness," yes i love it  its just a little bit complicated, because i want it on my BB , but it doesnt work"
sadness,"i'm so sad, because my beloved boy doesn't online, i wait for him everyday.."
sadness, hardly :/ some of my furniture is being shipped from who knows where and is backordered  I may cancel and shop local.
sadness,"bwarg. can't sleep, tired of drawing."
sadness,"Don't have time to chat (sorry girls  Miss y'all!), but we have a new lawnmower... yeah, that was today's highlight. Tomorrow is..."
sadness, i really wish i could.
sadness,exactly like that ...in glasgow now ...it's a bgt busier
sadness,Can't wait to come home! I miss my Bubba. Too bad my parents are taking him to Canada.
sadness,I'm SAD SAD SAD!!! thought my aunty Stina coming but no more  i was so looking forward to having family..i miss dat! i'm alone on maui
sadness,has to do two 50 page assignments this weekend  there goes any chance of relaxation!!
sadness,Town. Uncle and Gabriel are coming in. I miss Gabe  Tempted to ask if I can go back to Baton Rouge with and stay with other side of fam...
sadness,lost my BA115 enlisted class in CRS!! ( whyyyy. hindi naman conflict or whatever.  ang labo ng CRS grabe. T.T
sadness,3rd day of pain
sadness,missed out on westcott micro apollo too
sadness,"Dad: &quot;No trips to Lahore for you.&quot; Me: &quot;I do live in DC &amp; NYC which also = big targets.&quot; Bummer, no Pizza Hut chicken tikka pizza for me"
sadness,Last night I had 1/2 a bottle of wine in my house and 2 cocktails. Came home sober but still gonna be sick
sadness,"Thts kinda young 4 me, boo."
sadness,Weather is back to being great! Shame I have to wait in for my delivery
sadness, movie out today but i cant go see it
sadness, k... i guess i cant help it.... byeee 4eva....  (m really sad)
sadness,I hate the &quot;out-of-nowhere&quot; stuff...
sadness,sick n tired of people who steal other people's work
sadness," daddy wanted to buy me shoes, but they were prettie esspensive, so nao I haff to go bearfoot"
sadness,back at work  its too warm to be in here today!!!
sadness,"Went to the Athletics Carnival today! Tired, very tired! I hurt my back when I jumped for the second time on the High Jump!"
sadness,its too sunny for work  !!!
sadness,boys and girls lie? awww is santa not real either?
sadness,that was pretty lame babe
sadness, Ah bibisita ka kina GQ bukas o  sasama ka sa Rushers EB? I won't be able to visit Jumpstart tom coz I have something to do
sadness,i miss my daddy
sadness,owww i think i tore something in my leg
sadness, idkk if il get to see it again
happiness,mmm much better day... so far! it's still quite early. last day of #uds
happiness,"So great to see Oin &amp; Cynthia.  So happy.  Dinner was great, cute little place.  Too bad Oin got sick afterwards."
happiness,"dude, that is my favorite sandwich place ever. ummm did you take PICTURES?"
happiness,"Need to pack for CALI CALI! Cannot waittt! Thinking a glass of wine is in order to celebrate my weekend vaca. Still work 2morrow, tho."
happiness,"took a math test today. The day before the test, the teacher says bring your calculator. Luke was confident. Teacher decided no calcs."
happiness,"omg, the concert was awesome, madrigals gave me chills on almost every piece...brooks also called up alumni, but i didnt get to go"
happiness,"I Can`t do 30 minutes of Treadmill  but done 30 minutes for today already, gonna do 20 minutes more"
happiness,Chillin with the roomies. Can't wait for the zombie CLWN CR. Its gonna be 6-8 weeks
happiness, i kno i doooo!!!!!!!!!! yall partyin with out me
happiness,I spilled my beer all over my leg. Wasted half my beer.  Home now. I met a cute girl. Good conversation.
happiness,english class! working on interactive orals
happiness,FB is boring   and i wanna sing RIGHT NOW..! *-*
happiness, Must... have... new music... I won't sleep until you give us Chapter 1... I might die first though...  Hurry!
happiness,noooooooooooo i just look at a lot of pictures   lol lol
happiness," demi, just say hi to me and it`s enough. just replay to me please  love you so much!!!"
happiness,"big now!!! Vanessa is going to be 3 in September, its going by so fast!  its hard cuz Im workin so much, I miss out on alot"
happiness,"good lord, just seen the agency work for our upcoming Open Day. Money for Jam"
happiness,My little foster kittens are getting big...chubba and Winston are going 2 b missed when they get amazing homes.
happiness,Getting ready for school - second maths test today  also its my last day of 3rd year!! Next week i will officially be in 4th year
happiness,"Friday yay!! And a bonus, don't have to drive to Wales tonight.  Athough will miss kitten cuddles and going for a ride"
happiness,"Ok, other then my shoe, the club is cool. Its fun, and its poppin except 4 the ppl tryna dance wit me"
happiness," lol hi emmy, latin would help me study for the aptitude tests to get into grad school ;\ thats why i wanna take it"
happiness, Awesome! Wish I could fly out to see her
happiness,someone take me to LA  I NEED TO SEE THE LEMON TREE
happiness,"who's the one always working now?  oh yeah, still me."
happiness,that was an interesting show to say the least. recap tomorrow. first i must sleep. work in am.
happiness,hahaha oh man please come to pomona i would love to see you everyday instead of like once a year if that
happiness,". Flights already booked, plus its GGD2 1st birthday. Can't miss that ! especially as we missed GGD1"
happiness,Are u missing ur frnds ? Hear to &quot;Manasellaam &quot; From Kulir100 Degree movie. Its amazing !!!  Nanbargale - Miss u guys !!!
happiness,oh no the economy gotcha?  sorry but so happy that you got another one in LA!  Enjoy SoCal! Ahahaay! LOL
happiness,so carlie came over and she fell asleep on me
happiness,"To all my friends: Im deeply sorry i'm moving, i will miss u all so very very much!"
happiness, suuure
happiness,ah thats better snow patrol! now to be stuck indoors  still weekend coming up and fresh air excellent hope its sunny!
happiness,"up early again  loads to do- but the suns out, hurrah!"
happiness,Babes it was sooo much fun!!  Thank you so much for making that happen!  Had fun with the ladies too!  Time went to fast.
happiness,had  a little family party tonight   hope it rocked
happiness,I miss the concert Tuesday already. I'd really like a time machine to go see it again... It was so fun...
happiness,hahaha yeah i see that. but he can't twitter me back
happiness,Watching Jay Leno's 2nd last Tonight show   I haven't gone a day without Leno in like four yearss.
happiness,ive been there before  haha
happiness,"i have the biggest headache right now, i washed my hair wif mum's shampoo and now it's gross  i like my shampoo way better"
happiness,"Heading home now, yay! Was going to buy a much needed bottle of wine to drink with dinner, but my wallet is MIA so no wine for me tonight"
happiness, YOU'RE FAKING IT! Hahaha...I kid.
happiness, I won my 5th grade spelling bee. Went down trailing flames on 1st word at county spelling bee  http://post.ly/geb
happiness,Can you believe it:Tomorrow Night will be Jay Leno's last episode of the Tonight Show  I encourage everyone to watch it and welcome Conan.
happiness,Bought a new combo printer at costco today (officejet j4550) cause it was cheaper than ink 4 old one. #windows7 doesn't like the fax part
happiness,why do i have to wake up so early goddam?! 7.30 on my last day off  bummer
happiness, what don't be sad?  Be glad. Your 21
happiness,Goodmorning yall! I woke up to early
happiness, The red font up the top is very nice. But where did they put all the old entries?
happiness, useless tweet! LOL jk yay!!! You're coming tmr! How long u gnna be in phils for  ?
happiness,I am soo happy! But frustrated at the same time!  :]  :S. Ohh noo!!! Britney is recording her new video for Radar!!!  Sooo ExxCiiTeed!!!
happiness,"BOOYA!! Sup Tweeps!? Happy inFAMOUS day to you all, off to get it very soon. Can't wait to play, need to find some more time though"
happiness,"I'm up wit cha!! Just got home from da reggae club, wishin I was sexin somebody!!!"
happiness,Is dreading going to work  BUT....its friiiiiday!! whoop!!!
happiness,I wanna go to DBSK oppa's Mirotic Concert in Thailand!!! I REALLY WANNA GO SO MUCHHHHH...    *burst into tears*
happiness," &quot;might be interested&quot; - thanks, I was: I came, I saw, I winced..  too much like Flatland "
happiness," Haha, I wish I could"
happiness,"Warwick Castle http://snurl.com/izzau Amazing!  Off to Devon for a week...no internet, no updates"
happiness,good morning people !! in good old germany is it soooo cold
happiness,there was like no1 there n tha DJ comp was hella wack... no gud DJs  but got in free so its all gud
happiness,wishes she would call him ...   *hc*
happiness,"My life what a beautiful morning, i can think if no better way to ruin it than by being at work"
happiness,wish my nicky were home too
happiness,hmm..Osaka. Last show today.Very sad  . i can decode ur msg ;) haha cant wait till u get 2 Sydney ;D i missed out on tickets tho :o xx
happiness,huhuhu still working to get new clients in motion graphics
happiness,"Why does #googledocs do folders, instead of labels like #gmail? I kind of like labels"
happiness, Yeah  He was such a good..erm...entertainment )
happiness, I would totally take you to prom...if i hadnt already gone  sorry lol
happiness, Come hang out wif meeee
happiness,Hmmm thinking about taking back that I feel better this morning - I think I spoke to early
happiness, i know!  i wish she would. I just wanna cuddle and sleeep in ga! And go to the world of coke
happiness,Nooo  But hey you're back next week! Are you moving back for good?
happiness," yeah, I also had to do a paper.. I only have one more final left: algebra.. &amp; I take it on my birthday!!   (june 3)"
happiness,I just saw the Hamlet update too - excellent news... Never so good as live though
happiness,I can't work twitter on my phone!  we're just in bed thinking of funny stuff from last night! (L) GOOD TIMES!
happiness,Lucky Rob... always gettin' the T8's from Emalon
happiness,Going back to Manila this evening. All my trips to Cebu are so bitin.
happiness, cool dude! yeah i was hoping your rate was still $2.75. lol! yeah not sure when ill mar and par for my birthday dinner.
happiness,"Morning twitties! Heading to college, just back from the docs, god I'm hungry  streching my ears again today! 10mm ;) payday I love you!"
happiness,I have been playing skate for two hours. Now i need to get out and actually skate. But it's too late
happiness," Me too, she was adorable and you could tell the pressure got to her."
happiness, There's ding tai Fung here in Sydney aswell...  making me want dumplings...
happiness,This is one of my all-time favorite episodes/quotes from The OfficeUS only   )  http://bit.ly/ARMJ
happiness,I chilled in my room with my baby book missed my bro leavin  he really is cool had a stripper shirt on said I suppoort single moms! Funny
happiness,Sleep....take two....this better work!
happiness,yeahhh u wasnt thereeeeeeeeeee
